선정차수,번호,지역,상호,주소,상표,셀프여부
8차,A0012793,충남 천안시,(주)대륙주유소,충남 천안시 동남구 천안대로 782,GS칼텍스,셀프
8차,A0012717,충북 보은군,이케이에너지(주) 속리산(청주)주유소충전소,충북 보은군 마로면 적암길 56-18,알뜰(ex),셀프
8차,A0012712,충북 영동군,신창에너지㈜황간(서울)주유소,충북 영동군 황간면 회포1길 65,알뜰(ex),셀프
8차,A0012711,충북 영동군,신창에너지㈜황간(부산)주유소,충북 영동군 황간면 회포길 102,알뜰(ex),셀프
9차,A0011415,강원 강릉시,대동강주유소,강원 강릉시 남부로 67 (내곡동),SK에너지,셀프
9차,A0005463,경기 고양시,(주)원흥 원흥동지점,경기 고양시 덕양구 서오릉로 712 (원흥,HD현대오일뱅크,셀프
9차,A0000644,경기 고양시,덕양제1주유소,경기 고양시 덕양구 서오릉로 832 (성사,SK에너지,셀프
9차,A0005571,경기 고양시,(주)원흥 풍동지점,경기 고양시 일산동구 무궁화로 299 (풍,HD현대오일뱅크,셀프
9차,A0005555,경기 고양시,(주)원흥 고양동지점,경기 고양시 덕양구 호국로 1789,HD현대오일뱅크,셀프
9차,A0005525,경기 고양시,㈜보성중산주유소,경기 고양시 일산동구 고양대로 834 (중,SK에너지,셀프
9차,A0005436,경기 고양시,덕양제7주유소,경기 고양시 일산동구 무궁화로 250 (풍,알뜰주유소,셀프
9차,A0030768,경남 김해시,무지개셀프주유소,경남 김해시 호계로 282 (부원동),SK에너지,셀프
9차,A0024681,경북 포항시,(주)송라오일뱅크,경북 포항시 북구 동해대로 2941,HD현대오일뱅크,셀프
9차,A0024639,경북 포항시,고현주유소,경북 포항시 북구 청하면 동해대로 2151,HD현대오일뱅크,셀프
9차,A0023607,대구 중구,행운주유소,대구 중구 태평로 105 (태평로3가),SK에너지,셀프
9차,A0000992,서울 양천구,신월주유소,서울 양천구 신월로 193,GS칼텍스,셀프
9차,A0001129,서울 관악구,㈜자연에너지 관악주유소,서울 관악구 남부순환로 1520,HD현대오일뱅크,셀프
9차,A0000944,서울 양천구,삼미상사(주)신월IC셀프주유소,서울 양천구 중앙로 331 (신월동),SK에너지,셀프
9차,A0016460,세종 세종시,봉암주유소,세종시 연서면 세종로 1899,SK에너지,셀프
9차,A0031479,울산 남구,CJ대한통운㈜ 태화강 P-OIL,울산 남구 남산로 322,SK에너지,셀프
9차,A0031533,울산 중구,동아주유소,울산 중구 다운로 166,GS칼텍스,셀프
9차,A0029171,울산 남구,내트럭(주)울산사업소,울산 남구 산업로 100,SK에너지,일반
9차,A0007744,인천 서해구,파란들주유소,인천 서해구 봉수대로 181 (가좌동),GS칼텍스,셀프
9차,A0007706,인천 서해구,㈜석산에너지 민국주유소,인천 서해구 봉수대로 254,HD현대오일뱅크,셀프
9차,A0020633,광주 광산구,태평양주유소,전남광주통합특별시 광산구 송도로 92 (,SK에너지,셀프
9차,A0020215,광주 서구,시선㈜ 광주서지점,전남광주통합특별시 서구 풍서좌로 83,S-OIL,셀프
9차,A0020479,광주 광산구,임곡농협주유소,전남광주 광산구 고봉로 565 (산막동),NH-OIL,셀프
9차,A0019571,광주 남구,㈜한영 광주남지점,전남광주통합특별시 남구 대남대로 347,S-OIL,셀프
9차,A0020463,광주 광산구,(주)스마일셀프주유소,전남광주통합특별시 광산구 고봉로 541,SK에너지,셀프
9차,A0020056,광주 장성군,나들목광장 주식회사,전남광주 장성군 장성읍 하서대로 753,SK에너지,셀프
9차,A0018147,전북 완주군,보물단지주유소,전북 완주군 봉동읍 완주로 533,알뜰주유소,셀프
9차,A0014550,전북 익산시,고래주유소,전북 익산시 주현로 54,알뜰주유소,셀프
9차,A0019245,전북 순창군,순창알뜰주유소,전북 순창군 순창읍 장류로 339,알뜰주유소,셀프
9차,A0022745,전북 전주시,(유)스마트주유소,전북 전주시 덕진구 동부대로 786,GS칼텍스,셀프
9차,A0031126,제주 서귀포,도순주유소,제주 서귀포시 일주서로 366 (도순동),GS칼텍스,셀프
9차,A0006842,충남 천안시,대성제5주유소,충남 천안시 동남구 청수로 135,HD현대오일뱅크,셀프
9차,A0014260,충남 천안시,두정탑주유소,충남 천안시 서북구 동서대로 61,GS칼텍스,셀프
9차,A0012341,충북 증평군,선우셀프주유소,충북 증평군 증평읍 초평로 1742,S-OIL,셀프
9차,A0012072,충북 증평군,증평self주유소,충북 증평군 증평읍 삼보로 7,HD현대오일뱅크,셀프
9차,A0013498,충북 제천시,KK㈜ KK하나주유소,충북 제천시 북부로 2365,SK에너지,셀프
9차,A0009040,충북 증평군,해찬주유소,충북 증평군 증평읍 중부로 2475,S-OIL,셀프
