선정차수,번호,지역,상호,주소,상표,셀프여부
2차,A0015037,충북 단양군,단양IC주유소,충북 단양군 단성면 단양로 347,GS칼텍스,셀프
2차,A0012494,충북 청주시,㈜신화에너지 오해피주유소,충북 청주시 서원구 구룡산로 217,SK에너지,셀프
2차,A0017182,충북 청주시,옥녀봉주유소,충북 청주시 청원구 북이면 충청대로 13,S-OIL,일반
3차,A0033772,강원 철원군,철원농협주유소,강원 철원군 철원읍 금학로290번길 43,NH-OIL,셀프
3차,A0004212,강원 홍천군,다운주유소,강원 홍천군 홍천읍 영서로 1802,HD현대오일뱅크,일반
3차,A0011302,강원 정선군,그림바위주유소,강원 정선군 화암면 소금강로 1014,GS칼텍스,셀프
3차,A0011073,강원 원주시,4289주유소,강원 원주시 문막읍 왕건로 161,HD현대오일뱅크,일반
3차,A0033436,강원 강릉시,CJ대한통운㈜ 강릉주유소,강원 강릉시 동해대로 3292,S-OIL,셀프
3차,A0009736,경기 파주시,유림주유소,경기 파주시 광탄면 보광로 940,S-OIL,일반
3차,A0003624,경기 이천시,뛰뛰빵빵주유소,경기 이천시 호법면 이섭대천로 866,GS칼텍스,셀프
3차,A0003845,경기 여주시,가남주유소,경기 여주시 가남읍 여주남로 627,HD현대오일뱅크,일반
3차,A0003302,경기 안성시,삼죽농협주유소,경기 안성시 삼죽면 삼백로 9,NH-OIL,일반
3차,A0008422,경기 광명시,철산주유소,경기 광명시 오리로 883,HD현대오일뱅크,셀프
3차,A0003443,경기 이천시,이천고속주유소,경기 이천시 경충대로 2940 (사음동),S-OIL,셀프
3차,A0003303,경기 안성시,미양농협주유소,경기 안성시 미양면 미양로 62,NH-OIL,일반
3차,A0030585,경남 밀양시,㈜현대,경남 밀양시 무안면 사명로 272,HD현대오일뱅크,셀프
3차,A0029282,경남 함양군,개봉주유소,경남 함양군 지곡면 함양로 1808,S-OIL,셀프
3차,A0027439,경남 김해시,오일필드㈜김해부원지점,경남 김해시 호계로 272,자가상표,셀프
3차,A0029556,경남 고성군,텍사스주유소,경남 고성군 상리면 상정대로 1313,S-OIL,셀프
3차,A0024117,경북 영천시,대림주유소,경북 영천시 장수로 1396 (화산면),S-OIL,일반
3차,A0026275,경북 구미시,아리랑관광주유소,경북 구미시 고아읍 선산대로 948,SK에너지,셀프
3차,A0025239,경북 의성군,다인농협주유소,경북 의성군 다인면 서부로 2809,NH-OIL,일반
3차,A0026930,경북 경산시,황제주유소,경북 경산시 진량읍 황제1길 100,HD현대오일뱅크,일반
3차,A0020205,광주 광산구,산월Self주유소,광주 광산구 북문대로 579,HD현대오일뱅크,셀프
3차,A0020473,광주 광산구,오일필드(주)광주지점,광주 광산구 사암로 127 (우산동),자가상표,셀프
3차,A0020612,광주 서구,(유)매월주유소,광주 서구 회재로 845,GS칼텍스,셀프
3차,A0019802,광주 서구,골든타임주유소,광주 서구 상무대로1206번길 3,SK에너지,셀프
3차,A0020458,광주 광산구,흑석주유소,광주 광산구 사암로 415 (흑석동),GS칼텍스,일반
3차,A0023693,대구 북구,팔달41주유소,대구 북구 팔달로 41 (노원동3가),HD현대오일뱅크,셀프
3차,A0025085,대구 군위군,행복주유소,대구광역시 군위군 군위읍 경북대로 309,S-OIL,셀프
3차,A0023179,대구 달서구,아리랑주유소,대구 달서구 달서대로 696 (신당동),GS칼텍스,셀프
3차,A0022857,대구 동구,대원주유소,대구 동구 효동로 66 (효목동),GS칼텍스,일반
3차,A0013970,대전 중구,서대전농협주유소,대전 중구 계백로 1555 (유천동),SK에너지,셀프
3차,A0013587,대전 중구,하나로주유소,대전 중구 대둔산로 211 (안영동),SK에너지,셀프
3차,A0016768,대전 유성구,대양석유㈜ 엑스포주유소,대전 유성구 대덕대로 542,SK에너지,일반
3차,A0016757,대전 서구,극동유화(주) 한밭주유소,대전 서구 문정로 3 (둔산2동),S-OIL,셀프
3차,A0014103,대전 서구,코끼리셀프주유소,대전 서구 도산로 446 (용문동),S-OIL,셀프
3차,A0027204,부산 사하구,장림주유소,부산 사하구 장림로 287 (장림동),HD현대오일뱅크,셀프
3차,A0031427,부산 기장군,선암주유소,부산 기장군 장안읍 기장대로 1453,알뜰주유소,셀프
3차,A0031995,부산 기장군,㈜첼시주유소,부산 기장군 장안읍 정관로 1148,GS칼텍스,셀프
3차,A0032086,부산 기장군,(주)천일에너지 천일주유소,부산 기장군 신정관로 183,HD현대오일뱅크,셀프
3차,A0027353,부산 동구,동방석유(주)초량주유소,부산 동구 중앙대로 302 (초량동),SK에너지,셀프
3차,A0009502,서울 성북구,중앙에너비스 종암지점,서울 성북구 종암로 58,SK에너지,셀프
3차,A0000680,서울 은평구,서정주유소,서울 은평구 통일로 968 (진관동),GS칼텍스,셀프
3차,A0001257,서울 성북구,이케이에너지㈜ 강산주유소,서울 성북구 보문로 27 (보문동7가),GS칼텍스,셀프
3차,A0009492,서울 성북구,이케이에너지(주) 강산제2주유소,서울 성북구 보국문로 52,HD현대오일뱅크,셀프
3차,A0000139,서울 마포구,(주)타이거통상 월드컵주유소,서울 마포구 월드컵북로 170 (성산제2동,S-OIL,셀프
3차,A0033659,서울 강서구,오션네트웍스(주) 서울식물원지점,서울 강서구 양천로 300,SK에너지,셀프
3차,A0000279,서울 영등포,선유도주유소,서울 영등포구 양평로 141 (양평동5가),S-OIL,셀프
3차,A0014389,세종시,행복주유소,세종시 부강면 시목부강로 423,SK에너지,셀프
3차,A0014198,세종시,그린주유소,세종 조치원읍 세종로 2706,HD현대오일뱅크,셀프
3차,A0014461,세종시,세종강남농협주유소,세종특별자치시 금남면 성덕영곡길 15,NH-OIL,셀프
3차,A0014238,세종시,신원self주유소,세종특별자치시 조치원읍 세종로 2562,SK에너지,셀프
3차,A0014276,세종시,흥진셀프주유소,세종시 조치원읍 세종로 2563,GS칼텍스,셀프
3차,A0031618,울산 중구,케이티엑스(주) 태화루주유소,울산 중구 태화로 161,HD현대오일뱅크,셀프
3차,A0031667,울산 중구,(주)화주유소,울산 중구 태화로 248,S-OIL,셀프
3차,A0028912,울산 울주군,세명셀프주유소,울산광역시 울주군 온산읍 온산로 298 (,S-OIL,셀프
3차,A0031515,울산 울주군,덕하에너지 주식회사,울산 울주군 청량면 온산로 704,S-OIL,셀프
3차,A0001616,인천 계양구,㈜자연에너지 계양주유소,인천 계양구 아나지로 344 (작전동),HD현대오일뱅크,셀프
3차,A0006110,인천 서구,㈜북두칠성주유소,인천 서구 백범로 630번길 44,SK에너지,셀프
3차,A0014138,인천 미추홀,비전주유소,인천 미추홀구 석정로 429,GS칼텍스,셀프
3차,A0001599,인천 계양구,(주)거보주유소,인천 계양구 아나지로 130 (효성동),GS칼텍스,셀프
3차,A0011948,인천 강화군,강화남부농협주유소,인천 강화군 길상면 길상로 302,S-OIL,셀프
3차,A0033398,전남 장흥군,용두농협주유소,전남 장흥군 장동면 곰치로 9,NH-OIL,일반
3차,A0020908,전남 무안군,신대림주유소,전남 무안군 현경면 현해로 639,HD현대오일뱅크,일반
3차,A0022076,전남 순천시,(주)태광에너지 신도시주유소,전남 순천시 우석로 17 (도사동),SK에너지,셀프
3차,A0019115,전북 김제시,광활농협주유소,전북 김제시 광활면 광활로 470,NH-OIL,일반
3차,A0018685,전북 김제시,진봉농업협동조합주유소,전북 김제시 지평선로 1787,HD현대오일뱅크,일반
3차,A0019315,전북 남원시,쌍용주유소,전북 남원시 아영면 인월장터로 241,S-OIL,셀프
3차,A0031118,제주 서귀포,해맞이주유소,제주특별자치도 서귀포시 성산읍 일주동,GS칼텍스,셀프
3차,A0015299,충남 예산군,신암주유소,충남 예산군 신암면 추사로 203,SK에너지,셀프
3차,A0016111,충남 천안시,천안농협원성동 클린셀프주유소,충남 천안시 동남구 중앙로 13 (원성동),NH-OIL,셀프
3차,A0016121,충남 천안시,천안농협주유소,충청남도 천안시 동남구 풍세면 광풍로,NH-OIL,셀프
3차,A0033148,충남 천안시,천안농협경제사업장북부점,충남 천안시 서북구 번영로 730,HD현대오일뱅크,셀프
3차,A0032715,충남 천안시,DH천안주유소,충남 천안시 서북구 천안대로 1166,SK에너지,셀프
3차,A0013228,충북 음성군,충북석유(주) 모란주유소,충북 음성군 삼성면 덕정로30번길 22,SK에너지,셀프
3차,A0016919,충북 괴산군,부흥주유소,충북 괴산군 청안면 질마로 1465,HD현대오일뱅크,셀프
3차,A0011964,충북 진천군,미래주유소,충북 진천군 문백면 원덕로 115,SK에너지,일반
3차,A0017368,충북 청주시,오창IC만남주유소(SELF),충북 청주시 청원구 오창읍 오창대로 41,SK에너지,셀프
4차,A0011160,강원 횡성군,횡성농협 클린주유소,강원 횡성군 횡성읍 한우로 323,NH-OIL,셀프
4차,A0011150,강원 횡성군,횡성농협유현주유소,강원 횡성군 서원면 경강로 800,NH-OIL,셀프
4차,A0011566,강원 강릉시,(주)백두가스산업,강원 강릉시 연곡면 동해대로 4357,HD현대오일뱅크,셀프
4차,A0010326,강원 춘천시,새춘천주유소,강원 춘천시 동내면 세실로 38,알뜰주유소,셀프
4차,A0010481,강원 춘천시,(주)갤럭시EnS,강원 춘천시 동내면 세실로 20,GS칼텍스,셀프
4차,A0032941,경기 고양시,(주)어울림주유소,경기 고양시 덕양구 충장로 407,알뜰주유소,셀프
4차,A0004155,경기 이천시,광신직영(랜드마크셀프),경기 이천시 모가면 사실로 878,S-OIL,셀프
4차,A0009753,경기 화성시,마도알뜰주유소,경기 화성시 만세구 마도면 두곡서길 58,알뜰주유소,셀프
4차,A0007077,경기 시흥시,대야동주유소,경기 시흥시 복지로 68,알뜰주유소,셀프
4차,A0030597,경남 김해시,에이디에너지(주),경남 김해시 김해대로 2651 (안동),알뜰주유소,셀프
4차,A0029698,경남 산청군,석풍주유소,경남 산청군 신안면 산청대로 1169,알뜰주유소,셀프
4차,A0028181,경남 창원시,하늘주유소,경남 창원시 마산회원구 북성로 373,알뜰주유소,셀프
4차,A0028667,경남 밀양시,대림주유소,경남 창원시 의창구 팔용로 501 (팔용동,알뜰주유소,셀프
4차,A0026409,경북 칠곡군,㈜제이엠 제7주유소지점,경북 칠곡군 왜관읍 강변대로 852,알뜰주유소,셀프
4차,A0026114,경북 칠곡군,만남의주유소,경북 칠곡군 가산면 경북대로 1883,알뜰주유소,셀프
4차,A0024185,경북 경주시,삼일주유소,경북 경주시 천북면 산업로 4866,SK에너지,셀프
4차,A0024530,경북 포항시,청하Self주유소,경북 포항시 북구 청하면 동해대로 2405,알뜰주유소,셀프
4차,A0026752,경북 경산시,(주)미니에너지,경북 경산시 압량면 대학로 754,알뜰주유소,셀프
4차,A0019752,광주 북구,(유)착한주유소,광주 북구 동문대로 452 (장등동),알뜰주유소,셀프
4차,A0020586,광주 서구,(주)반디석유 시청점,광주 서구 천변좌하로 160 (치평동),HD현대오일뱅크,일반
4차,A0020372,광주 서구,(주)대원 강변주유소,광주 서구 천변좌하로 142 (치평동),S-OIL,셀프
4차,A0033247,대구 북구,미니주유소,대구 북구 침산남로 224,알뜰주유소,셀프
4차,A0023581,대구 북구,칠곡제일주유소,대구 북구 구리로 161 (국우동),알뜰주유소,셀프
4차,A0023199,대구 서구,신광주유소,대구 서구 와룡로 349 (상중이동),SK에너지,셀프
4차,A0022810,대구 동구,㈜미니에너지 직영주유소,대구 동구 화랑로 484,알뜰주유소,셀프
4차,A0023271,대구 서구,서대구주유소,대구 서구 북비산로 41,GS칼텍스,셀프
4차,A0013918,대전 중구,주식회사 김여사네 셀프주유소,대전 중구 대종로 558 (선화동),S-OIL,셀프
4차,A0013945,대전 중구,(주)농협유통 하나로주유소,대전 중구 대둔산로199번길 43,NH-OIL,셀프
4차,A0013986,대전 중구,(주)남강 중앙로셀프주유소,대전 중구 중앙로 64,HD현대오일뱅크,셀프
4차,A0013856,대전 중구,우리셋셀프주유소,대전 중구 대둔산로 150,S-OIL,셀프
4차,A0013917,대전 중구,안영IC주유소,대전 중구 대둔산로 188 (안영동),GS칼텍스,셀프
4차,A0027320,부산 부산진,대양주유소,부산 부산진구 새싹로 61-1 (부암동),알뜰주유소,셀프
4차,A0027266,부산 사상구,(주)시블링스 우리1주유소,부산 사상구 백양대로 701 (덕포동),알뜰주유소,셀프
4차,A0027436,부산 사상구,용마주유소,부산 사상구 가야대로 329,알뜰주유소,셀프
4차,A0000549,서울 강서구,이케이에너지(주) 강서주유소,서울 강서구 화곡로 273 (화곡동),HD현대오일뱅크,셀프
4차,A0001005,서울 양천구,현대주유소,서울 양천구 남부순환로 372 (신월동),S-OIL,셀프
4차,A0001023,서울 양천구,(주)자연에너지 남부주유소,서울 양천구 남부순환로 553,HD현대오일뱅크,셀프
4차,A0001015,서울 양천구,동일석유(주)개나리주유소,서울 양천구 남부순환로 442 (신월동),SK에너지,셀프
4차,A0009834,서울 광진구,삼호주유소,서울 광진구 천호대로 809 (광장동),S-OIL,셀프
4차,A0001157,서울 관악구,(주)씨더블유창원,서울 관악구 과천대로 921 (남현동),HD현대오일뱅크,셀프
4차,A0009765,서울 광진구,능동주유소,서울 광진구 천호대로 584,알뜰주유소,셀프
4차,A0033424,서울 송파구,위례제일주유소,서울 송파구 위례서로 260,S-OIL,셀프
4차,A0009989,서울 송파구,상아주유소,서울 송파구 거마로 82,S-OIL,셀프
4차,A0033513,세종 세종시,세종중앙농협주유소,세종 연기면 잣띠길 4,NH-OIL,셀프
4차,A0014189,세종 세종시,충청에너지주유소,세종특별자치시 전의면 세종로 3894,알뜰주유소,셀프
4차,A0031594,울산 울주군,럭키스파밸리직영주유소,울산 울주군 범서읍 울밀로 2844,알뜰주유소,셀프
4차,A0029150,울산 남구,광신직영(흥부셀프),울산 남구 월평로 152,S-OIL,셀프
4차,A0031976,울산 울주군,주식회사 이림,울산 울주군 삼남면 반구대로 607,알뜰주유소,셀프
4차,A0031647,울산 동구,동울산주유소,울산 동구 방어진순환도로 753,알뜰주유소,셀프
4차,A0029092,울산 남구,광신석유(주) 울산대교주유소,울산 남구 장생포로 240 (매암동),SK에너지,셀프
4차,A0001425,인천 미추홀,탑주유소,인천 미추홀구 송림로 217 (도화동),알뜰주유소,셀프
4차,A0006156,인천 미추홀,명보주유소,인천 미추홀구 인하로 217 (주안동),알뜰주유소,셀프
4차,A0008107,인천 서구,주식회사 디오티디 인천랍스터주유소,인천 서구 봉수대로 1543 (금곡동),SK에너지,셀프
4차,A0007953,인천 서구,(주)자연에너지 금곡주유소,인천 서구 봉수대로 1491 (금곡동),HD현대오일뱅크,셀프
4차,A0021316,전남 영암군,서영암농협주유소,전남 영암군 미암면 흑석로 1569-101,NH-OIL,일반
4차,A0033558,전남 영암군,주식회사 여정 영암주유소,전남 영암군 삼호읍 대불로 164,알뜰주유소,셀프
4차,A0021156,전남 함평군,광목주유소,전남 함평군 학교면 함영로 490,GS칼텍스,셀프
4차,A0021189,전남 나주시,㈜대원 동신주유소,전남 나주시 건재로 89,S-OIL,셀프
4차,A0021236,전남 나주시,금정에너지(주)금성주유소,전남 나주시 건재로 330,SK에너지,셀프
4차,A0019544,전북 남원시,오성주유소,전북 남원시 춘향로 370,S-OIL,셀프
4차,A0030863,제주 서귀포,초원주유소,제주 서귀포시 일주서로 27 (강정동),알뜰주유소,셀프
4차,A0031029,제주 서귀포,하원주유소,제주 서귀포시 일주서로 479 (하원동),GS칼텍스,셀프
4차,A0033239,제주 서귀포,혁신도시주유소,제주특별자치도 서귀포시 일주동로 9144,GS칼텍스,셀프
4차,A0014435,충남 공주시,동현주유소,충남 공주시 장기면 차령로 1851,알뜰주유소,셀프
4차,A0016542,충남 논산시,햇님주유소,충남 논산시 연산면 계백로 2435,알뜰주유소,셀프
4차,A0014807,충남 논산시,강경농협주유소,충남 논산시 강경읍 계백로 57,NH-OIL,셀프
4차,A0016452,충남 논산시,계백주유소,충남 논산시 부적면 계백로 1428,알뜰주유소,셀프
4차,A0032692,충남 보령시,백두산주유소,충남 보령시 대해로 498 (요암동),자가상표,셀프
4차,A0012500,충북 청주시,행복에너지주식회사 행복에너지2주유소,충북 청주시 서원구 청남로 1937 (미평,GS칼텍스,셀프
4차,A0012007,충북 괴산군,맹꽁이주유소,충북 괴산군 문광면 괴산로 3314,알뜰주유소,셀프
4차,A0017127,충북 괴산군,두꺼비주유소,충북 괴산군 중부로 2974,알뜰주유소,셀프
4차,A0026263,충북 제천시,대황주유소,충북 제천시 봉양읍 북부로 913,HD현대오일뱅크,셀프
5차,A0010431,강원 춘천시,㈜붕붕붕주유소,강원 춘천시 공지로 156-3,GS칼텍스,셀프
5차,A0010392,강원 춘천시,춘천주유소,강원 춘천시 공지로 234-1 (효자동),SK에너지,셀프
5차,A0033649,강원 춘천시,춘천농협주유소 엔타점,강원 춘천시 후석로 120,NH-OIL,셀프
5차,A0005003,경기 양주시,(주)어하둥둥알뜰주유소,경기 양주시 부흥로 1300,알뜰주유소,셀프
5차,A0004808,경기 양주시,서울이엔지㈜ 일월주유소,경기 양주시 백석읍 부흥로 1126,HD현대오일뱅크,셀프
5차,A0004826,경기 양주시,하나셀프주유소,경기 양주시 백석읍 부흥로 1024,GS칼텍스,셀프
5차,A0006122,경기 양주시,㈜원흥.양주지점 제이앤에스,경기 양주시 평화로 1107 (산북동),HD현대오일뱅크,셀프
5차,A0004417,경기 양주시,KH에너지㈜직영 대복주유소,경기 양주시 부흥로 1807,자가상표,셀프
5차,A0028429,경남 창원시,광신석유(주)직영 양덕주유소,경남 창원시 마산회원구 삼호로 119 (,SK에너지,셀프
5차,A0024102,경북 경주시,시선㈜ 경주지점,경북 경주시 산업로 3585,알뜰주유소,셀프
5차,A0023664,경북 칠곡군,대광셀프주유소,경북 칠곡군 동명면 경북대로 158,알뜰주유소,셀프
5차,A0023551,대구 서구,평리주유소,대구 서구 서대구로 227 (평리동),HD현대오일뱅크,셀프
5차,A0023330,대구 서구,영신제2주유소,대구 서구 서대구로 207 (평리동),알뜰주유소,셀프
5차,A0016846,대전 유성구,선인에너지㈜강변주유소,대전 유성구 엑스포로 293,HD현대오일뱅크,셀프
5차,A0027502,부산 사상구,스마트주유소,부산 사상구 가야대로 377,HD현대오일뱅크,셀프
5차,A0001132,서울 금천구,㈜씨더블유 이엔지 금천지점,서울 금천구 독산로 147,HD현대오일뱅크,셀프
5차,A0009939,서울 송파구,양운개발 마천로주유소,서울 송파구 마천로 230,SK에너지,일반
5차,A0000686,서울 은평구,(주)디오티디 은평유니콘주유소,서울 은평구 통일로 1151,HD현대오일뱅크,일반
5차,A0009272,서울 관악구,(주)연우에너지 신관주유소,서울 관악구 신림로 290 (신림동),알뜰주유소,셀프
5차,A0031491,울산 동구,남목주유소,울산 동구 방어진순환도로 1208 (서부동,알뜰주유소,셀프
5차,A0033724,인천 서구,금광주유소,인천 서구 중봉대로 1593 (금곡동),HD현대오일뱅크,셀프
5차,A0001267,인천 서구,부광셀프주유소,인천 서구 봉수대로 1623,GS칼텍스,셀프
5차,A0019690,전남 화순군,남도에너지,전남 화순군 화순읍 서양로 376,알뜰주유소,셀프
5차,A0033669,전남 나주시,(주)대원에너지 일봉지점,전남 나주시 왕곡면 여시물길 70,HD현대오일뱅크,셀프
5차,A0033781,전남 나주시,㈜원,전남 나주시 동강면 장동들길 25-4,S-OIL,셀프
5차,A0018249,전북 전주시,(유)백제주유소,전북 전주시 완산구 효자로 67-3 (효자,알뜰주유소,셀프
5차,A0031139,제주 서귀포,수도석유(주)한신주유소,제주 서귀포시 천제연로 77,SK에너지,셀프
5차,A0033618,제주 서귀포,가까운주유소,제주특별자치도 서귀포시 일주서로 1080,GS칼텍스,셀프
5차,A0031081,제주 제주시,유성주유소,제주특별자치도 제주시 조천읍 일주동로,GS칼텍스,셀프
5차,A0031075,제주 서귀포,수산주유소,제주 서귀포시 성산읍 서성일로 898,알뜰주유소,셀프
5차,A0015265,충남 당진시,우루사Self주유소,충남 당진시 신평면 서해로 7522,SK에너지,셀프
5차,A0016250,충남 천안시,아평주유소,충남 천안시 동남구 천안대로 784,HD현대오일뱅크,셀프
5차,A0016904,충남 천안시,진우11주유소,충남 천안시 동남구 쌍용대로 175,GS칼텍스,셀프
5차,A0014531,충남 논산시,미래주유소,충남 논산시 연산면 계백로 1983,알뜰주유소,셀프
5차,A0013150,충북 충주시,충주주유소,충북 충주시 중원대로 3506 (봉방동),SK에너지,셀프
5차,A0002005,충북 청주시,이포에너지㈜ 금강주유소,충북 청주시 서원구 청남로 2145,HD현대오일뱅크,셀프
6차,A0009978,강원 춘천시,거두주유소,강원도 춘천시 동내면 춘천순환로 59,GS칼텍스,셀프
6차,A0005030,경기 양주시,(주)교현 알뜰주유소,경기 양주시 장흥면 북한산로 863,알뜰주유소,셀프
6차,A0028707,경남 창원시,동부3,경남 창원시 성산구 마디미로 73 (상남,알뜰주유소,셀프
6차,A0028706,경남 창원시,동부2,경남 창원시 진해구 진해대로 732,알뜰주유소,셀프
6차,A0028622,경남 창원시,성주주유소,경남 창원시 성산구 해원로 410,GS칼텍스,셀프
6차,A0028266,경남 함안군,함마대로주유소,경남 함안군 산인면 함마대로 2035,알뜰주유소,셀프
6차,A0026124,경북 구미시,행복주유소,경북 구미시 송선로 507,SK에너지,셀프
6차,A0022913,대구 동구,㈜송라오일뱅크 공항점,대구 동구 공항로 259,HD현대오일뱅크,셀프
6차,A0016604,대전 서구,도마진실주유소,대전 서구 도산로 123,S-OIL,셀프
6차,A0013952,대전 대덕구,와동셀프주유소 ㈜에스에이치에너지,대전 대덕구 신탄진로 386,SK에너지,셀프
6차,A0016802,대전 서구,(유)용명에너지 신대전셀프주유소,대전 서구 도산로 213,HD현대오일뱅크,셀프
6차,A0017447,대전 대덕구,㈜오일마스터 킹콩주유소 대전지점,대전 대덕구 아리랑로 107 (읍내동),S-OIL,셀프
6차,A0016445,대전 서구,남선석유㈜ 계백셀프주유소,대전 서구 계백로 1327,S-OIL,셀프
6차,A0000444,서울 영등포,(주)대청에너지 대청주유소,서울 영등포구 가마산로 328 (대림동),GS칼텍스,셀프
6차,A0000427,서울 영등포,영등포제일셀프주유소,서울 영등포구 가마산로 379,HD현대오일뱅크,셀프
6차,A0033328,서울 강서구,KH에너지㈜직영 KH외발산주유소,서울 강서구 방화대로 30,SK에너지,셀프
6차,A0000567,서울 강서구,유턴주유소,서울 강서구 남부순환로 57,알뜰주유소,셀프
6차,A0033792,인천 부평구,경동석유산업㈜부평SELF 주유소,인천 부평구 백범로 567,SK에너지,셀프
6차,A0009895,인천 서구,차오름에너지㈜,인천 서구 봉수대로 1248 (왕길동),SK에너지,셀프
6차,A0001539,인천 미추홀,동일석유㈜주안동일주유소,인천 미추홀구 석정로 498,SK에너지,셀프
6차,A0006214,인천 남동구,도지주유소,인천 남동구 백범로 471,HD현대오일뱅크,셀프
6차,A0019865,전남 장성군,공원주유소,전남 장성군 북이면 방장로 995,알뜰주유소,셀프
6차,A0017926,전북 전주시,명진주유소,전북 전주시 덕진구 원만성로 45 (팔복,S-OIL,셀프
6차,A0031045,제주 서귀포,삼화석유(주) 법환Self주유소,제주특별자치도 서귀포시 일주동로 9173,SK에너지,셀프
6차,A0031022,제주 제주시,삼양주유소,제주특별자치도 제주시 일주동로 398,알뜰주유소,셀프
6차,A0016149,충남 천안시,KK㈜ 천안중앙2주유소,충남 천안시 서북구 쌍용대로 215 (성정,SK에너지,셀프
7차,A0010489,강원 춘천시,동춘천농협주유소,강원 춘천시 동내면 학곡동2길 11,NH-OIL,셀프
7차,A0028578,경남 창원시,동부1,경남 창원시 진해구 진해대로 855 (석동,알뜰주유소,셀프
7차,A0026112,경북 칠곡군,미소가득주유소,경북 칠곡군 왜관읍 강변대로 830,GS칼텍스,셀프
7차,A0026282,경북 칠곡군,강나루주유소,경북 칠곡군 왜관읍 강변대로 853,GS칼텍스,셀프
7차,A0026119,경북 칠곡군,대왕석유무역㈜ 대왕주유소,경북 칠곡군 왜관읍 강변대로 700,HD현대오일뱅크,일반
7차,A0020608,광주 광산구,평동천우주유소,광주 광산구 동곡로 655 (송촌동),SK에너지,셀프
7차,A0019692,광주 남구,드림에너지㈜,광주광역시 남구 대남대로 336 (월산5,HD현대오일뱅크,셀프
7차,A0023362,대구 서구,㈜다원컴퍼니,대구 서구 국채보상로 122 (중리동),HD현대오일뱅크,셀프
7차,A0003125,대전 중구,옥계주유소,대전 중구 대종로 103,HD현대오일뱅크,셀프
7차,A0010753,부산 기장군,월드컵주유소,부산 기장군 일광면 기장대로 1230,알뜰주유소,셀프
7차,A0031821,부산 기장군,신아시아드주유소/충전소 은마석유㈜,부산광역시 기장군 일광면 기장대로 996,GS칼텍스,셀프
7차,A0031410,부산 해운대구,㈜영원석유 하늘주유소,부산 해운대구 해운대로 1184,GS칼텍스,셀프
7차,A0027753,부산 해운대구,㈜영원석유 영원주유소,부산 해운대구 해운대로 1178,HD현대오일뱅크,셀프
