받는분,기본주소,상세주소,우편번호
청라에너지 대표,인천 서구 봉수대로 690 (연희동),청라에너지,
SK행복충전 ㈜영우 동광양주유소 대표,전남 광양시 강변로 98 (광영동),SK행복충전 ㈜영우 동광양주유소,
(유) 삼일인 대표,전남 여수시 여수산단로 547 (중흥동),(유) 삼일인,
(주)장성보해주유소 대표,전남 장성군 장성읍 단풍로 111,(주)장성보해주유소,
남선석유㈜ 서순천셀프주유소 대표,전남 순천시 중앙로 511,남선석유㈜ 서순천셀프주유소,
거금도농협주유소 대표,전남 고흥군 금산면 거금중앙길 117,거금도농협주유소,
서원주유소 대표,전북 군산시 옥녀로 18,서원주유소,
에스제이오일㈜ 에스제이주유소 대표,전북 군산시 해망로 252,에스제이오일㈜ 에스제이주유소,
유쾌한주유소 대표,전북 군산시 구암로 97 (구암동),유쾌한주유소,
미소주유소 대표,전북 군산시 대학로 618,미소주유소,
SJ오일(주) 스마일주유소 대표,전북 군산시 공단대로 284 (수송동),SJ오일(주) 스마일주유소,
주천삼거리 주유소 대표,전북 정읍시 소성로 639,주천삼거리 주유소,
지에스칼텍스㈜ 연세주유소 대표,전북 익산시 부송로 33,지에스칼텍스㈜ 연세주유소,
구좌농협주유소 대표,제주특별자치도 제주시 구좌읍 일주동로3190,구좌농협주유소,
고산주유소 대표,제주 제주시 한경면 고산로 5,고산주유소,
대정농협무릉주유소 대표,제주 서귀포시 대정읍 서삼중로 66,대정농협무릉주유소,
대정농협주유소 대표,제주 서귀포시 대정읍 상모대서로 55,대정농협주유소,
모슬포행운주유소 대표,제주 서귀포시 대정읍 일주서로 2419,모슬포행운주유소,
산방주유소 대표,제주특별자치도 서귀포시 대정읍 신영로34,산방주유소,
중앙주유소 대표,제주 제주시 구좌읍 구좌로 74,중앙주유소,
용정self주유소 대표,충남 부여군 부여읍 백제문화로 136,용정self주유소,
서천안 ㈜오일컴퍼니 대표,충남 천안시 동남구 풍세로 689,서천안 ㈜오일컴퍼니,
천지주유소 대표,충남 공주시 정안면 차령로 3270,천지주유소,
대원주유소 대표,충남 천안시 동남구 충절로 261,대원주유소,
중도석유(주)중도행복주유소 대표,충남 아산시 배방읍 고속철대로 171,중도석유(주)중도행복주유소,
하이테크에너지(주)단양하이테크주유소 대표,충북 단양군 매포읍 단양로 2727,하이테크에너지(주)단양하이테크주유소,
단양사랑주유소 대표,충북 단양군 매포읍 단양로 2478,단양사랑주유소,
동찬주유소 대표,충북 청주시 흥덕구 오송읍 서평길 22-1,동찬주유소,
신동주유소 대표,충북 제천시 내토로 134,신동주유소,
대현주유소 대표,강원 화천군 화천읍 평화로 117,대현주유소,
광탄셀프주유소 대표,경기 파주시 광탄면 혜음로 1178,광탄셀프주유소,
구도일 새한주유소 대표,경기 수원시 장안구 서부로 2348,구도일 새한주유소,
코리아주유소 대표,경기 여주시 대신면 여양로 2012,코리아주유소,
㈜두한 동안성주유소 대표,경기 안성시 삼죽면 서동대로 6034,㈜두한 동안성주유소,
대신석유(주)당리주유소 대표,경기 군포시 용호1로1번길 16 (당동),대신석유(주)당리주유소,
금강주유소 대표,경기 양주시 부흥로 1643,금강주유소,
구장주유소 대표,경기 화성시 만세구 팔탄면 푸른들판로639,구장주유소,
HD현대오일뱅크㈜직영 통영주유소 대표,경남 통영시 안개로 22 (무전동),HD현대오일뱅크㈜직영 통영주유소,
해금강주유소 대표,경남 거제시 동부면 거제중앙로 659,해금강주유소,
대양주유소 대표,경남 진주시 망경로 272 (망경동),대양주유소,
동산주유소 대표,경남 합천군 초계면 동부로 1045,동산주유소,
(주)미광에너지 대표,경북 포항시 남구 오천읍 냉천로 544,(주)미광에너지,
부래주유소 대표,경북 봉화군 석포면 청옥로 1762,부래주유소,
용산주유소 대표,경북 포항시 남구 오천읍 정몽주로 189,용산주유소,
송촌주유소 대표,광주 광산구 동곡로 656,송촌주유소,
진영주유소 대표,광주 광산구 송도로 292 (송정동),진영주유소,
하남현대주유소(H) 대표,광주 광산구 임곡로 573 (안청동),하남현대주유소(H),
동부주유소 대표,대구광역시 군위군 군위읍 군청로 15,동부주유소,
이화주유소 대표,대구광역시 군위군 우보면 동부로 1616,이화주유소,
SK에너지㈜ 유공셀프주유소 대표,대전 유성구 유성대로 614 (구암동),SK에너지㈜ 유공셀프주유소,
대광주유소 대표,대전 유성구 금남구즉로 1355 (봉산동),대광주유소,
남부산고속주유소 대표,부산 부산진구 거제대로 84 (양정동),남부산고속주유소,
대양산업(주)대양가덕주유소 대표,부산 강서구 거가대로 2571,대양산업(주)대양가덕주유소,
HD현대오일뱅크㈜직영 감전주유소 대표,부산 사상구 낙동대로 978 (감전동),HD현대오일뱅크㈜직영 감전주유소,
고려주유소 대표,부산 중구 대청로 153 (중앙동5가),고려주유소,
박물관주유소 대표,서울 강서구 양천로53길 97 (가양동),박물관주유소,
SK서광주유소 대표,서울 강남구 역삼로 142,SK서광주유소,
한영주유소 (한화) 대표,서울 동대문구 망우로 38 (휘경동),한영주유소 (한화),
양재주유소 대표,서울 서초구 바우뫼로 178,양재주유소,
동일주유소 대표,서울 성동구 광나루로 254 (성수동2가),동일주유소,
대원셀프주유소 대표,서울 구로구 개봉로 7,대원셀프주유소,
대신석유(주)대우주유소 대표,서울 서초구 양재대로 173 (양재동),대신석유(주)대우주유소,
(주)소모 수락산셀프주유소 대표,서울 노원구 동일로 1772,(주)소모 수락산셀프주유소,
방죽주유소 대표,서울 강남구 밤고개로 215 (율현동),방죽주유소,
(주)한유에너지 중부주유소 대표,세종시 조치원읍 세종로 2167,(주)한유에너지 중부주유소,
차사랑주유소 대표,세종 부강면 부강외천로 271,차사랑주유소,
연기주유소 대표,세종특별자치시 연기면 당산로 116,연기주유소,
세종부강농협주유소 대표,세종특별자치시 부강면 부강외천로 10,세종부강농협주유소,
양정주유소 대표,울산 북구 염포로 499 (양정동),양정주유소,
동남주유소 대표,울산 울주군 온양읍 광청로 305,동남주유소,
능산주유소 대표,울산 울주군 상북면 상북로 90,능산주유소,
울산주유소 대표,울산 중구 구교로 83 (학성동),울산주유소,
자월주유소 대표,인천 옹진군 자월면 자월동로 38,자월주유소,
선재주유소 대표,인천 옹진군 영흥면 선재로 123,선재주유소,
장수셀프(self)주유소 대표,인천 부평구 백범로 502,장수셀프(self)주유소,
HD현대오일뱅크㈜직영 인천대교주유소 대표,인천 연수구 아암대로 815 (동춘동),HD현대오일뱅크㈜직영 인천대교주유소,
수정주유소 대표,전남 진도군 진도읍 진도대로 7290,수정주유소,
석곡농협죽곡지점주유소 대표,전남 곡성군 죽곡면 대황강로 796,석곡농협죽곡지점주유소,
회천주유소 대표,전남 보성군 회천면 남부관광로 2333,회천주유소,
무등주유소 대표,전남 담양군 가사문학면 장단길 12-2,무등주유소,
덕천주유소 대표,전남 진도군 고군면 진도대로 385,덕천주유소,
여산주유소 대표,전북 익산시 여산면 호남로 1428-10,여산주유소,
여산천호주유소 대표,전북 익산시 여산면 가람로 174,여산천호주유소,
신태인주유소 대표,전북 정읍시 신태인읍 말목장터로 990,신태인주유소,
한결주유소 대표,전북 정읍시 고부면 영주로 316,한결주유소,
구좌농협우도지점주유소 대표,제주 제주시 우도면 우도로 147,구좌농협우도지점주유소,
서귀주유소 대표,제주특별자치도 서귀포시 중정로 122,서귀주유소,
대포주유소 대표,제주 서귀포시 일주서로 559 (대포동),대포주유소,
성산일출봉농협주유소 대표,제주 서귀포시 성산읍 일주동로 4521,성산일출봉농협주유소,
토평주유소 대표,제주 서귀포시 중산간동로 7801,토평주유소,
명진주유소 대표,충남 보령시 미산면 만수로 1124,명진주유소,
(주)성진티엘에스주유소 대표,충북 진천군 덕산면 진성로 554,(주)성진티엘에스주유소,
단양IC주유소 대표,충북 단양군 단성면 단양로 347,단양IC주유소,
㈜신화에너지 오해피주유소 대표,충북 청주시 서원구 구룡산로 217,㈜신화에너지 오해피주유소,
옥녀봉주유소 대표,충북 청주시 청원구 북이면 충청대로 1376,옥녀봉주유소,
철원농협주유소 대표,강원 철원군 철원읍 금학로290번길 43,철원농협주유소,
다운주유소 대표,강원 홍천군 홍천읍 영서로 1802,다운주유소,
그림바위주유소 대표,강원 정선군 화암면 소금강로 1014,그림바위주유소,
4289주유소 대표,강원 원주시 문막읍 왕건로 161,4289주유소,
CJ대한통운㈜ 강릉주유소 대표,강원 강릉시 동해대로 3292,CJ대한통운㈜ 강릉주유소,
유림주유소 대표,경기 파주시 광탄면 보광로 940,유림주유소,
뛰뛰빵빵주유소 대표,경기 이천시 호법면 이섭대천로 866,뛰뛰빵빵주유소,
가남주유소 대표,경기 여주시 가남읍 여주남로 627,가남주유소,
삼죽농협주유소 대표,경기 안성시 삼죽면 삼백로 9,삼죽농협주유소,
철산주유소 대표,경기 광명시 오리로 883,철산주유소,
이천고속주유소 대표,경기 이천시 경충대로 2940 (사음동),이천고속주유소,
미양농협주유소 대표,경기 안성시 미양면 미양로 62,미양농협주유소,
㈜현대 대표,경남 밀양시 무안면 사명로 272,㈜현대,
개봉주유소 대표,경남 함양군 지곡면 함양로 1808,개봉주유소,
오일필드㈜김해부원지점 대표,경남 김해시 호계로 272,오일필드㈜김해부원지점,
새남해농업협동조합서면주유소 대표,경남 남해군 서면 스포츠로 679,새남해농업협동조합서면주유소,
텍사스주유소 대표,경남 고성군 상리면 상정대로 1313,텍사스주유소,
대림주유소 대표,경북 영천시 장수로 1396 (화산면),대림주유소,
아리랑관광주유소 대표,경북 구미시 고아읍 선산대로 948,아리랑관광주유소,
다인농협주유소 대표,경북 의성군 다인면 서부로 2809,다인농협주유소,
황제주유소 대표,경북 경산시 진량읍 황제1길 100,황제주유소,
산월Self주유소 대표,광주 광산구 북문대로 579,산월Self주유소,
오일필드(주)광주지점 대표,광주 광산구 사암로 127 (우산동),오일필드(주)광주지점,
(유)매월주유소 대표,광주 서구 회재로 845,(유)매월주유소,
